,variable,value,method
0,10,0.06304491311311722,GPSA
1,10,0.10276984423398972,GPSA
2,10,0.07763344794511795,GPSA
3,25,0.05204391852021217,GPSA
4,25,0.05208895727992058,GPSA
5,25,0.017896180972456932,GPSA
6,50,0.026297012344002724,GPSA
7,50,0.026876885443925858,GPSA
8,50,0.025496669113636017,GPSA
0,10,1.6515994257713134,PASTE
1,10,0.5575965042350207,PASTE
2,10,0.3904146749025152,PASTE
3,25,1.088432657440088,PASTE
4,25,0.5710713022727509,PASTE
5,25,0.2695042489388928,PASTE
6,50,1.266102929902538,PASTE
7,50,0.8363640353519182,PASTE
8,50,0.9116086117382921,PASTE
