,variable,value,method
0,0.0,0.0402592308819294,GPSA
1,0.0,0.025008264929056168,GPSA
2,0.0,0.02330503612756729,GPSA
3,0.1,0.031988538801670074,GPSA
4,0.1,0.04925290495157242,GPSA
5,0.1,0.027523566037416458,GPSA
6,0.5,0.08841298520565033,GPSA
7,0.5,0.04462097957730293,GPSA
8,0.5,0.03723962977528572,GPSA
9,1.0,0.07257737964391708,GPSA
10,1.0,0.10742050409317017,GPSA
11,1.0,1.9619114398956299,GPSA
0,0.0,0.35653715975605993,PASTE
1,0.0,0.8931012840656732,PASTE
2,0.0,1.2395282326019643,PASTE
3,0.1,0.7847664319776,PASTE
4,0.1,0.8873855921772932,PASTE
5,0.1,1.0485786111069633,PASTE
6,0.5,1.306161109265982,PASTE
7,0.5,0.7823608874374862,PASTE
8,0.5,0.45431030438673026,PASTE
9,1.0,1.5390129338657432,PASTE
10,1.0,1.2413004679219515,PASTE
11,1.0,0.5205619977834168,PASTE
