,variable,value,method
0,0.001,0.017351854592561722,GPSA
1,0.001,0.0029137986712157726,GPSA
2,0.001,0.002185991033911705,GPSA
3,0.001,0.00311491172760725,GPSA
4,0.001,0.0016904269577935338,GPSA
5,0.001,0.002469993196427822,GPSA
6,0.001,0.0641576498746872,GPSA
7,0.01,2.001955270767212,GPSA
8,0.01,0.0387200266122818,GPSA
9,0.01,2.13932204246521,GPSA
10,0.01,0.011113825254142284,GPSA
11,0.01,1.4165321588516235,GPSA
12,0.01,0.013459071516990662,GPSA
13,0.01,0.06380211561918259,GPSA
14,0.1,12.814373016357422,GPSA
15,0.1,3.788872241973877,GPSA
16,0.1,17.030546188354492,GPSA
17,0.1,83.5704345703125,GPSA
18,0.1,25.20417594909668,GPSA
19,0.1,5.593547821044922,GPSA
20,0.1,15.275642395019531,GPSA
0,0.001,0.1437475070587965,PASTE
1,0.001,0.11200969645808101,PASTE
2,0.001,0.12926670813206828,PASTE
3,0.001,0.23345964915228637,PASTE
4,0.001,0.1511710999533939,PASTE
5,0.001,0.13326273740017036,PASTE
6,0.001,0.030111544820042642,PASTE
7,0.01,1.1011397913889966,PASTE
8,0.01,3.1266295027869253,PASTE
9,0.01,2.1070117866671083,PASTE
10,0.01,0.28649634273544433,PASTE
11,0.01,0.7456315187218878,PASTE
12,0.01,2.3548766705218456,PASTE
13,0.01,3.206403332534175,PASTE
14,0.1,145.72199544520493,PASTE
15,0.1,3.4672989472734894,PASTE
16,0.1,259.11647241141856,PASTE
17,0.1,33.354804594491206,PASTE
18,0.1,60.18314195825869,PASTE
19,0.1,188.78200117429031,PASTE
20,0.1,10.765027897992837,PASTE
